Account Number:,3236912309
Account Name:,BESTRADE SDN. BHD.
Account Type:,ACE ENTERPRISE
From Date:,01/10/2025
To Date:,31/10/2025
Available Balance:,MYR 227288.55
Current Balance:,MYR 232288.55
Generation Date:,11/10/2025
Generation Time:,21:37:43
Interest Paid YTD :,MYR 254.71
Interest Accrual :,MYR 40.63
Hold Amount :,MYR 0.00
One Day Float :,MYR 0.00
Online Float :,MYR 0.00
OD Limit :,MYR 0.00

Transaction Type :,All Transaction
Trn. Date,Cheque No/Ref No,Transaction Description,Debit Amount,Credit Amount,Reference 1,Reference 2,Reference 3,Reference 4,Reference 5,Reference 6
"=""07/10/2025""","=""036033""","=""DUITNOW TRSF CR""",,998.80,"=""HD COLOUR TRADING        I0001233""","=""""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""622995""","=""TSFR FUND CR-ATM/EFT""",,1400.00,"=""XXXXXX9708          PAN UNITED TRADING CO.""","=""Pan United""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""200351""","=""DUITNOW TRSF CR""",,1740.00,"=""CHIN YII ENGINEERING CO  Sent from AmOnline""","=""Iv-07685""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""036800""","=""TSFR FUND CR-ATM/EFT""",,2100.00,"=""XXXXXX7716          GOOD DESTINY ELECTRICAL""","=""iv-07686""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""610019""","=""TSFR FUND CR-ATM/EFT""",,5600.00,"=""XXXXXX2816          SING SING TYRE RIM & BA""","=""jul24""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""275808""","=""TSFR FUND CR-ATM/EFT""",,9267.50,"=""XXXXXX8916          ULU PADAS AGRICULTURAL E""","=""7316 7131""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""265366""","=""DUITNOW TRSF CR""",,21084.00,"=""X.Y.Z ENTERPRISE         Sent from AmOnline""","=""""","=""""","=""""","=""""","=""""",
"=""07/10/2025""","=""162474""","=""DEP-ECP""",,800.00,"=""IMEPS20251007100002180332857""","=""EVERLIGHT TYRE & BATTERIES SUPPLY              RHB""","=""XREF123456789A      PAYMENT""","=""""","=""""","=""""",
"=""07/10/2025""","=""202395""","=""DEP-ECP""",,3060.00,"=""IMEPS20251007100002650523568""","=""LIAN GANG LOGISTICS SDN BHD B8010             CCB""","=""IB                  PAYMENT             72522""","=""""","=""""","=""""",
"=""08/10/2025""","=""188638""","=""TSFR FUND CR-ATM/EFT""",,608.00,"=""XXXXXX5806          UNI-SIGNCRAFT""","=""BESTRADE SDN BHD""","=""""","=""""","=""""","=""""",
"=""08/10/2025""","=""138251""","=""TSFR FUND CR-ATM/EFT""",,1534.00,"=""XXXXXX3809          ZELLCOM SDN BHD""","=""IV-07390""","=""""","=""""","=""""","=""""",
"=""08/10/2025""","=""189865""","=""TSFR FUND CR-ATM/EFT""",,10500.00,"=""XXXXXX4516          V.C LEVELLING COMPANY""","=""iv07717""","=""""","=""""","=""""","=""""",
"=""08/10/2025""","=""346298""","=""TSFR FUND CR-ATM/EFT""",,19488.00,"=""XXXXXX4000          LANDSTAR BUILDER SDN. BH""","=""Pymt of account""","=""""","=""""","=""""","=""""",
"=""08/10/2025""","=""380497""","=""TSFR FUND CR-ATM/EFT""",,42735.00,"=""XXXXXX3215          LIK HENG MACHINERY COMPA""","=""LIKHENG""","=""""","=""""","=""""","=""""",
"=""08/10/2025""","=""821935""","=""DUITNOW TRSF DR""",200000.00,,"=""PUTIAN GUSHU TRADING CO  PC250701""","=""""","=""""","=""""","=""""","=""""",
"=""08/10/2025""","=""821043""","=""DUITNOW TRSF DR""",230000.00,,"=""PUTIAN GUSHU TRADING CO  PC250701""","=""""","=""""","=""""","=""""","=""""",
"=""08/10/2025""","=""323723""","=""DEP-HSE CHEQ""",,47000.00,"=""TRAX BRH JCL""","=""""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""448721""","=""TSFR FUND CR-ATM/EFT""",,1750.00,"=""XXXXXX2622          TANAHMAS (SARAWAK) SDN.""","=""IV-06902""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""611770""","=""DUITNOW TRSF CR""",,1890.00,"=""C.L. ENG COMPANY         IV-07357""","=""""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""220822""","=""TSFR FUND CR-ATM/EFT""",,2410.00,"=""XXXXXX1816          HING TAK STAINLESS STEEL""","=""IV05176""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""039052""","=""DUITNOW TRSF CR""",,3830.00,"=""BERJAYA KITCHEN EQUIPMENTBill 10""","=""""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""064083""","=""TSFR FUND CR-ATM/EFT""",,3900.00,"=""XXXXXX9119          K.S.HARDWARE""","=""IV-07707""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""509439""","=""TSFR FUND CR-ATM/EFT""",,10650.00,"=""XXXXXX6701          SOAR STEEL & REFRIGERATO""","=""IV07231""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""094555""","=""DUITNOW TRSF CR""",,11920.00,"=""CHANG LOONG ELECTRIC     IV-07356""","=""""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""601359""","=""TSFR FUND CR-ATM/EFT""",,12286.00,"=""XXXXXX2824          ULU PADAS AGRO-MARINE MA""","=""7129 7418 7315 7509""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""094128""","=""DUITNOW TRSF CR""",,36830.00,"=""SING ENG KIAT SDN BHD    Sing Eng Kiat SB""","=""""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""530540""","=""TSFR FUND CR-ATM/EFT""",,40000.00,"=""XXXXXX7436          SOAR STEEL & METAL SB""","=""05990""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""525412""","=""DUITNOW TRSF DR""",100000.00,,"=""PUTIAN GUSHU TRADING CO  PC250702""","=""""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""525871""","=""DUITNOW TRSF DR""",221200.00,,"=""PUTIAN GUSHU TRADING CO  PC250702""","=""""","=""""","=""""","=""""","=""""",
"=""09/10/2025""","=""525641""","=""DUITNOW TRSF DR""",225000.00,,"=""PUTIAN GUSHU TRADING CO  PC250702""","=""""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""014360""","=""DUITNOW TRSF CR""",,396.00,"=""GOH TUO LUN              Fund Transfer""","=""""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""028338""","=""DEP-CASH""",,2000.00,"=""TRAX BRH KNG""","=""""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""008594""","=""DUITNOW TRSF CR""",,2110.00,"=""WENG FOOK TYRES & BATTERIFEB'25 MAR'25""","=""""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""813898""","=""TSFR FUND CR-ATM/EFT""",,2360.00,"=""XXXXXX3133          TOOLS MASTER MACHINERY (""","=""IV-07744""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""230996""","=""TSFR FUND CR-ATM/EFT""",,2520.00,"=""XXXXXX8613          GOLDEN STEEL METALS WORK""","=""IV 07742""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""628852""","=""TSFR FUND CR-ATM/EFT""",,4563.20,"=""XXXXXX9822          ZITAHO HARDWARE SDN BHD""","=""PAYMENT""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""813440""","=""DUITNOW TRSF CR""",,7050.00,"=""Hasnah binti hamsah      Produk""","=""""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""028336""","=""DEP-CASH""",,10000.00,"=""TRAX BRH KNG""","=""""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""738638""","=""DUITNOW TRSF CR""",,14000.00,"=""D'HUMAIRAH COLLECTION    Payment""","=""""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""703973""","=""DUITNOW TRSF CR""",,21974.00,"=""HUA LEONG TRADING COMPANYFund transfer""","=""IV06713/06712""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""065951""","=""DUITNOW TRSF CR""",,25566.00,"=""X.Y.Z ENTERPRISE         Sent from AmOnline""","=""Payment for IV07740""","=""""","=""""","=""""","=""""",
"=""10/10/2025""","=""408729""","=""DEP-LOC CHEQ""",,5000.00,"=""TRAX BRH LHA""","=""""","=""""","=""""","=""""","=""""",
"=""11/10/2025""","=""013254""","=""DUITNOW TRSF CR""",,10000.00,"=""CHIENG CHIONG LEONG      Sent from AmOnline""","=""""","=""""","=""""","=""""","=""""",
"=""11/10/2025""","=""079081""","=""DUITNOW TRSF CR""",,280.00,"=""JIMMY CHEN SIGNAGE ENTERP2 ftRound light box""","=""Steelman""","=""""","=""""","=""""","=""""",
"=""11/10/2025""","=""113628""","=""DUITNOW TRSF CR""",,10083.00,"=""Hasnah binti hamsah      Produk""","=""""","=""""","=""""","=""""","=""""",
"=""11/10/2025""","=""115023""","=""DUITNOW TRSF CR""",,9167.00,"=""JUM BEAUTY               Bayaran""","=""""","=""""","=""""","=""""","=""""",
